m1,m2,x1_0,x2_0,v1_0,v2_0,t,x1_t,x2_t
7.629381868736052,7.403922438838521,"[-4.613377859709329, -3.9218835963451637]","[5.850541439027655, 5.406710914205437]","[2.246969627205056, 4.1715346137465374]","[4.990477272582188, 4.320690780317134]",22.98637944580369,"[49.73442510391237, 93.39699015761045]","[117.7832781484473, 103.24979491131417]"
4.84204440019124,4.455895438966903,"[1.8600821765069302, -6.94760950222411]","[8.106463898536504, 5.512048878668647]","[-0.17140901126502506, 0.9781793515357498]","[-3.4234868064091115, 3.5653987588739557]",48.35703699671141,"[-6.994970772000541, 44.4171405741874]","[-156.82792435641187, 173.50918213663184]"
4.549204873988793,7.553855602800058,"[-6.493008904263053, -5.528941045552205]","[-3.1024867206649054, -0.8410803482875799]","[-2.4834354718172125, -4.084385229155033]","[-2.2506439148883084, -0.7658680079860378]",28.087536304728893,"[-72.57167873183086, -110.68263083321115]","[-68.53069551652538, -28.113795361989183]"
7.295720256542754,2.099570919628289,"[-9.696170742320955, 4.665918577184769]","[9.660845240215107, -8.85335447671369]","[1.2124677488445101, 3.9341031315742825]","[2.203960130412666, -3.019359200554735]",48.01441686127023,"[48.83548110981181, 193.1123036160007]","[114.3856223479562, -152.27187991906422]"
6.060807342635675,5.1595871178127135,"[-5.935277924139739, 7.928799064291468]","[-7.67144221177011, -7.068760601087312]","[-4.979655616697323, 4.957020031215691]","[-2.321788588139645, -3.896359613870526]",42.322969965366845,"[-216.5942272321688, 216.31981517632]","[-106.04786680802353, -170.32410371803763]"
8.323830320966655,9.761178792121884,"[4.585218528796426, -6.582700102535166]","[-6.7588737226315025, 1.5692269972733435]","[3.953854045054122, 1.0024144807463875]","[2.104842276072997, 0.748802170836834]",12.887370550516128,"[53.44312164913903, 7.28887045741574]","[22.155119059212574, 10.406577369791105]"
6.4032798020076305,1.9011394047734933,"[-0.6100622754736502, 0.47502175787063194]","[-9.000156628281298, -6.589602827588601]","[0.8390616729478548, -0.2416355842383453]","[-3.3818690813596475, -1.8376820012564679]",39.65907728949515,"[31.56289923710704, -9.788364378635105]","[-139.40540292245177, -77.17889737656684]"
9.830264521882455,2.8537249331906884,"[-1.098608022630362, 1.0288922943781404]","[-2.7427717631253, -1.9704718560495849]","[-2.4287603802881588, -3.369354902554864]","[2.025449760600738, -3.107124496522159]",20.209963538269868,"[-45.249966173500376, -73.24784139525144]","[21.195965075463427, -43.46945824905321]"
4.770100561562279,0.7595055194477407,"[9.625532032928199, -1.6206319122160568]","[4.256805676776537, 8.335960062294411]","[-3.1488071066059664, -1.0115134568710071]","[2.2625026063701013, -1.0468151680207836]",16.36729987360355,"[-41.78947788206947, -17.877473092114926]","[40.51874852835403, -10.674847626326804]"
0.9397194511269533,5.056959900259681,"[-3.5184128221007764, 9.608015469050542]","[6.701059862655409, 0.24164618901463442]","[-4.041453198705859, -3.3582728721555632]","[2.8195655062842198, -3.186546279686789]",42.28927755829864,"[-172.49548621506912, -133.23719616323854]","[125.5792330059947, -134.3615491570389]"
